,question,answer
868,ستایشگر,حامد
869,عزادار,ماتم‌زده
870,حکم و فرمان,امر
871,روز عرب,یوم
872,معادل فارسی اندیکاتور,نامه‌نما
874,پولی که با آن ضمانت کنند,وجه‌الضمان
875,مجازاُ کنایه از دنیا,ایرمان‌سرا
876,از کلمات شرط,اما
878,اسب آذری,ات
879,بزرگوار و گرامی,محترم
880,جلا دهنده کفش,واکس
881,سخن و بیان,کلام
882,فرو بردن غذا از گلو,خوردن
884,زینت داده شده,مزین
885,عدد دو رقمی بین پنجاه تا هفتاد,شصت
886,پسر بهرام گور,یزدگرد دوم
887,شهری در ایالت مریلند کشور آمریکا,کینگزتاون
888,پرنده سعادت,هما
889,يکي از سي لحن باربد,روشن چراغ
890,ترس و بیم,هول
891,خانه کنار دریا,ویلا
892,سایه‌گاه,نش
893,خشک مزاج,یبس
894,از شاعران ایرانی,مولوی
895,زدنی بهانه‌جو,نق
896,یکی پس از دیگری,متناوب
897,نیایش,دعا
898,بچه گوسفند,بره
899,ای دل,دلا
900,کلام درد,وای
901,پستی,ابتذال
902,فتنه و بدی,شر
903,نوعی کالباس,لیونر
904,پول سابق ایتالیا,لیر
905,عضو رونده,پا
907,کلام نهفته,راز
908,از غذاهای ایرانی,لوبیا پلو
909,هادی,رهنما
910,فیلم محمد عرب,داش آکل
911,ورزشی رزمی,ووشو
912,معشوق,دلبر
914,آبکی,شل
915,اثری از فخرالدین عراقی,لمعات
916,زبانه آتش,لهب
917,ایالتی در آمریکا,یوتا
918,خواری,ذلیلی
919,از کارتون‌ها,چوبین
921,نخ تابیده,ریس
922,صفرابر سنتی,آب آلو
923,از سبک‌های موسیقی,رپ
925,نوعی ‌زردآلو,نوری
926,کشور اورست,نپال
927,از غارهای کرمانشاه,غار قبه
928,نماد عدالت,ترازو
929,از تجهیزات درمانی,انژیوکت
930,ادبا,سخنوران
931,یکدندگی,لج
932,شیوه کار,شگرد
933,سرخورده,ایس
934,جمع رتبه,رتب
935,هر دارویی که روی زخم بگذارند تا بهبود یابد,مرهم
937,استوار کردن,تشدید
938,از مرکبات,نارنج
939,تبعیت,پیروی
940,حرف پوست کنده,رک
941,اطراف و پیرامون,حومه
942,همه دارند,نام
943,چین و چروک پوست,یرا
944,آبگوشت ساده,یخنی
945,حیوان وحشی,دد
946,صحرایی در شیلی,آتاکاما
947,شهری در استان‌کرمان,نرماشیر
948,شیوه‌ای از معماری,اسلامی
949,حریر منقش,پرنیان
951,خوش اقبال,نیک اختر
952,عامل وراثت,ژن
953,از سازهای سنتی ایران,سه‌تار
954,خوابگاه,منام
956,بیان شده,مشروح
958,از توابع استان‌ ایلام,ورگر
959,مقابل اخروی,دنیوی
960,از غذاهای ایرانی,آش
961,مخزن جوهر پرینتر,کارتریج
963,باد عجول!,تندباد
964,نفیس و قیمتی,بهادار
965,پادو,پاکار
966,یگانگی,احدیت
967,مشک خالص,ادمن
968,سرپرست قانونی,قیم
970,لنگه در,تا
971,از غلات,گندم
972,توسری خور چکش,میخ
973,اردوگاه,کمپ
974,دوستی بی ریا,ارادت
975,دختر ژوپیتر,هلن
976,عنوان نامه,سحا
977,طرف خطاب و صحبت,مخاطب
978,صندوقچه جواهر,درج
979,حیوان نجیب,اسب
980,نام تجاری یخدان,کلمن
981,دفعه و مرتبه,مر
983,علت و موجب,سبب
984,عاقل و فهمیده,دانا
985,هماهنگ و یکسان,یکجور
986,برتری داشتن,ترجیح
987,ضد حمله,پاتک
988,نقاش مدعی پیامبری,مانی
989,دنباله و استمرار,ادامه
990,نگاه دزدانه,سرک
992,مهر و موم,پلمب
993,علامت تجاری,انگ
994,رشته باریک,نخ
995,دید چشم,سو
996,رمق آخر,نا
997,بزرگتر,اکبر
998,سلطه جو,قدرت طلب
999,اشاره کردن,ایما
1000,بادمجانش آفت ندارد,بم
1001,از حروف مقطعه قرآن,حم
1002,پنهان کاری,دس
1003,کمیاب شدن چیزی,ندر
1004,با هم بودن,متحد
1005,دندانه سوهان,آج
1006,یخ فروش,یخی
1007,از اقلیت های مذهبی,ارمنی
1008,حمله بر دشمن,تاخت
1009,پزشک اتاق عمل,جراح
1010,از پرندگان با طولی بین ۴۸ تا ۶۴ سانتی‌متر,چنگر غول
1011,معادل فارسی تکنوکرات,فن‌سالار
1012,برادر مرگ است,ترس
1013,آگاه به امور,بلد
1014,بی‌کس و یگانه,تنها
1015,شالوده و اساس,مبنا
1016,روشنایی اندک,سو
1018,بزرگتر,مهتر
1019,صفحه مدار اصلی رایانه,مادربرد
1020,جنگ و پیکار,آفند
1022,جنس به ظاهر قوی!,نر
1023,دسته خنجر,مشته
1024,باوقار و سنگین,وزین
1025,تخلص دهخدا,دخو
1027,بانی ترکیه جدید,آتاتورک
1028,جنبشی است که از ابتدا در سال 1999 میلادی از ناحیه زیبای (Chianti ) از استان توسکانی ایتالیا شکل گرفت .,شهرارام
1029,چوب بستی که تاک انگور و مانند آن را بر بالای آن بخوابانند,چفت
1030,مادر خودمانی,مامان
1031,کوره آجرپزی,داش
1032,لوس و ازخودراضی,ننر
1033,مشتعل و شعله‌ور,برافروخته
1034,از هم جدا کردن,گسستن
1035,آقای اسپانیایی,دن
1036,زیارت کنندگان,زوار
1038,فرومایگی,نامردمی
1039,خم پارچه,تا
1040,پیروز گشتن ، چیره شدن,غلبه
1041,وزیدن باد,هب
1042,غوطه‌ور در آب,شناور
1043,فیلمی به کارگردانی الیور استون,وال استریت
1044,ضمیر مفعولی,مرا
1046,از اسباب نانوایی,وردنه
1047,در مرتبه نخست,یکم
1048,برنده جایزه نوبل ادبیات در سال ۲۰۱۶ میلادی,باب دیلن
1049,حرکت کرم,وول
1050,سنگین نیست,سبک
1051,از غلات پرمصرف,گندم
1052,داخل,تو
1054,حمله به دشمن,سورن
1055,دریاچه‌ای در روسیه,خانکا
1056,الفت گرفته,الیف
1057,گریز آهو,رم
1058,رانده شده,مطرود
1059,کافی,بس
1060,پایتخت صفاریان,زرنج
1062,سخنوران,ادبا
1064,درخت انگور,مو
1065,خوبی,نیکی
1066,راهزن,دزد
1067,پخش و پلا,ولو
1068,صادق و درستکار,نیکوکار
1069,پایتخت کلمبیا,بوگوتا
1070,طلوع کردن,برآمدن
1071,لوله گیاهی,آوند
1072,نوعی تودوزی خودرو,لمسه دوزی
1074,ضایع شده,خیط
1077,سریالی با بازی علی دهکردی,مسافر زمان
1078,بله انگلیسی,یس
1079,درخت ‌زبان گنجشک,ون
1081,سیخ نانوایی,یوک
1082,کنایه از آب آشامیدن,لب تر کردن
1083,لباس بی‌آستر,یکلا
1084,دارای اسم خوب,نکونام
1085,فیلمی از ایوان‌ ریتمن,جونیور
1086,ترمیناتور سینمایی,نابودگر
1087,پوست دباغی‌شده,جیر
1088,هدایت کردن,هدا
1089,دربان,بواب
1091,آبرسان قدیمی,آبیار
1092,شلوار,تنبان
1093,عصاره‌ کنجد,تخ
1094,سوگ و عزا,ماتم
1095,همسر بهرام گور,پورک
1096,خسیس,شح
1097,یار «هوی»!,های
1098,دوباره بيمار شدن,نکس
1100,شهرنشینی,تمدن
1102,خطاب بی‌ادبانه,هی
1103,حوارى خائن,یهودا
1104,نیمه صورت,نیمرخ
1106,شهر خراسان رضوی,درگز
1107,نوعی سبک موسیقی,راک
1109,از اسیدهای آمینه,تیروزین
1110,بزرگزادگان,نجبا
1111,از آثار تاریخی استان ایلام,تپه‌های لارت
1112,پیامبرى از بنى اسراییل,ایوب
1113,طلب شده,خواسته
1115,طلب بی‌گناهی,برائت
1119,ملیح,بانمک
1120,استوارکردن,تسدید
1121,قبل از یازده,ده
1123,رطوبت,نم
1124,روزی که در آنیم,امروز
1125,متکدی,گدا
1126,معبد زرتشتیان,آتشکده
1127,فوتبال آمریکایی,رگبی
1128,کارگردان فیلم از دور دست,رامین محسنی
1129,فصل پاییز,خزان
1130,زمان اوج یا شدت گرفتن امری,گرماگرم
1131,سودای ناله,آه
1132,لباس شنا,مایو
1133,استخوان بالای ران,ورک
1134,نژاد مردم روسیه,روس
1135,نویسنده پرویی,یوسا
1136,سنگ آسیاب,اس
1137,شاهکاری از هومر یونانی,ادیسه
1138,سد شده,مسدود
1139,تکنیکی در فوتبال,لایی
1141,نام ترکی,اد
1142,فریاد تشویق,هورا
1143,سال ترکی,ییل
1144,مقابل رفت,آمد
1145,طاق ویران شده عهد ساسانی,کسری
1147,یار غم,هم
1148,شوره‌زار و بیابان,کویر
1149,فیلمی از فرزاد موتمن,صداها
1150,شک و تردید,دودلی
1152,بلندترین شب سال,یلدا
1153,حرف تنبیه,هله
1155,وسیله احتیاطی اضافی,یدکی
1156,کجاست,کو
1157,سریالی از حمید لبخنده,مهر و ماه
1158,نوعی جنون,گاوی
1159,فرشته های آسمانی,ملائکه
1160,تاج و کلاه پادشاهی,دیهیم
1161,سالک و پیرو,رهرو
1162,جنون مردم آزاری,سادیسم
1163,مادر گرامی,والده
1164,بی رونقی,کسادی
1166,عدد قرن,صد
1167,خرابکار اینترنتی,هکر
1169,طعم‌دهنده غذا,ادویه
1170,صمیمیت,یکدلی
1171,شمای بیگانه,یو
1172,ایستگاه راه‌آهن,گار
1173,عنصر نمک,ید
1175,کارگردان آمریکایی بن هور,وایلر
1176,سبزی خورشتی,ریواس
1177,مال و دارایی,سرمایه
1178,پایتخت بنگلادش,داکا
1179,بنگاه و انجمن,موسسه
1180,از جزایر اندونزی,مادورا
1181,الگو و نمونه,اسوه
1182,مصیبت بزرگ,فاجعه
1183,ملالت و نکوهش,شماتت
1185,حمل و نقل,ترابری
1186,لنگه در,لت
1187,پروردگار,یزدان
1188,گوشت آذری,ات
1189,کریستال,بلور
1190,پرنده وحشی حلال گوشت,درنا
1191,واحد شمارش قنات,رشته
1192,بزن بهادر,یکه بزن
1193,از ضمایر منفصل,او
1194,دختر نیست,پسر
1195,کلمه اظهار درد,ای
1196,زود رنج و حساس,دلنازک
1197,گیرنده امواج,انتن
1198,سرزمین و موطن,میهن
1199,روایت کننده,راوی
1201,مقابل خواب,بیدار
1202,تنها و یکه,تک
1203,اسب ماده,مادیان
1204,شیپور بزرگ جنگی,کرنا
1205,بیماری زردی,یرقان
1206,اندیشمند و فکور,متفکر
1207,صافی و پالایه,فیلتر
1208,آدم سست عنصر,دمدمی
1209,خارج از محوطه بازی,اوت
1210,برنج کار,شالیکار
1211,بالابر ماشین,جک
1212,خمیر رنگ کار,بتونه
1213,مردن از غصه,دق
1214,زن و فرزند,عایله
1215,پیامبران,انبیا
1216,بازی نفس گیر,زو
1217,خودنمایی,پز
1218,سخنان بیمارگونه,یان
1219,درس دادن,تدریس کردن
1220,از بخش های شهرستان همدان,شرا
1221,ناشنوا,کر
1222,یازده,اا
1223,باقی و پابرجا,مانده
1224,نیم تنه نظامی,اورکت
1225,مایه حیات,آب
1226,مرد عارف و عابد,ربانی
1227,طاقچه بالا,رف
1228,عبور کالا از کشوری به کشور دیگر بدون پرداخت گمرک,ترانزیت
1229,کم پشت,تنک
1230,بزرگترین قمر کیوان,تیتان
1231,صدمه دیده,ناکار
1232,نوعی آلبالو,قاراسیا
1233,دیرینه تر,اقدم
1236,شیرینی سنتی‌تبریز,نوقا
1237,دوستدار,محب
1238,چهره و رخسار,روی
1239,آرام و یواش,آهسته
1240,شکست خوردن در جنگ,هزیمت
1241,پایتخت دومینیکا,روسو
1242,مروارید,در
1243,حادثه,اتفاق
1245,ایمان و باور,یقین
1246,به هم رسیدن,التقا
1247,مأیوس,نومید
1251,سرآغاز آبادانی,آب
1255,شهری در مازندران,قائمشهر
1257,قبیح تر و زشت تر,اقبح
1258,نیستی و فنا,زوال
